Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
23;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1975;46;05/07/1975;1;MADRID;1;28019;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;1998;01/09/1998;23;2014;30/06/2014;39;0
2;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;09/03/1995;0;CADIZ;1;28045;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;80;190;;2019;11/09/2019;24;2020;30/06/2020;25;0
12;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1991;30;03/01/1991;1;MADRID;1;28300;Aranjuez;1;0;ARBITRO;SEGUNDA REGIONAL;0;0;1;ARANJUEZ;;;;ESTUDIANTE;2009;01/06/2009;18;2014;30/06/2014;23;0
19;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1983;38;21/03/1983;1;MADRID;1;28023;Madrid;1;0;ARBITRO;PRIMERA AFICIONADOS;1;0;0;MADRID;;;;LICENCIADO EN ODONTOLOGIA;2002;23/09/2002;19;2014;30/06/2014;31;0
6;1;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1998;23;06/02/1998;1;MADRID;1;28991;Torrejón De La Calzada;1;0;ARBITRO;PRIMERA AFICIONADOS;0;0;1;ARANJUEZ;;71;184;Estudiante;2015;27/01/2015;17;;;;1
7;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1992;29;29/09/1992;1;MADRID;1;28030;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;70;172;Diseñador Industrial;2014;28/10/2014;22;2019;30/06/2019;27;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2002;19;06/03/2002;1;MADRID;1;28903;Getafe;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;65;178;;2019;04/10/2019;17;;;;0
11;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1982;39;11/02/1982;0;PALENCIA;1;28039;Madrid;1;0;ARBITRO;EXCEDENCIA PREFERENTE;1;0;0;MADRID;;;;;2010;21/07/2010;28;2011;30/06/2011;29;0
16;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1978;43;19/07/1978;1;MADRID;1;28918;Leganés;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;MOZO DE ALMACEN;2005;15/09/2005;27;2014;30/06/2014;36;0
6;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1998;23;22/08/1998;1;MADRID;1;28035;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2015;28/10/2015;17;;;;1
